Table 210-06503 : Underemployed persons and underemployment rate by detailed industry of main employment,,,,,
 ,,,,,
 , , ,Underemployed persons (1),Underemployed persons (1),Underemployment rate (2)
,,,No. ('000),Percentage share (%),(%)
Year / Moving 3-month period,,Detailed industry of main employment (3) (4),,,
2010,,     Public administration,[*7],[*7],[*7]
2010,,     Education,3.2,4.4,1.7
2010,,     Human health and social work activities,0.9,1.2,0.5
2010,,          Human health activities,[*7],[*7],[*7]
2010,,          Social work activities,0.7,0.9,1.0
2010,,"     Arts, entertainment and recreation",2.3,3.2,4.3
2010,,     Other service activities,5.7,7.9,1.5
2010,,Other industries,[*7],[*7],[*7]
2010,,Overall,72.5,100.0,2.0
2011,,Manufacturing,1.9,2.9,1.3
2011,,Construction,22.4,35.5,7.6
2011,,     Foundation and superstructure,13.8,21.8,6.3
2011,,"     Decoration, repair and maintenance for buildings",8.6,13.6,11.4
2011,,Import/export trade and wholesale,2.3,3.7,0.4
2011,,     Import and export trade,1.7,2.8,0.3
2011,,     Wholesale,0.6,0.9,1.3
2011,,"Retail, accommodation and food services (5)",10.4,16.4,1.7
2011,,     Retail,4.5,7.2,1.4
2011,,     Accommodation and food services,5.8,9.2,2.1
2011,,          Accommodation services,0.4,0.7,1.0
2011,,          Food and beverage service activities,5.4,8.6,2.3
2011,,"Transportation, storage, postal and courier services, information and communications",9.8,15.5,2.2
2011,,     Transportation and storage,8.8,13.9,2.9
2011,,          Transportation,7.1,11.2,3.2
2011,,          Warehousing and support activities for transportation,1.7,2.7,2.0
2011,,     Postal and courier activities,0.3,0.4,1.4
2011,,     Information and communications,0.7,1.1,0.6
2011,,"Financing, insurance, real estate, professional and business services",5.0,7.9,0.7
2011,,     Financing and insurance,0.6,1.0,0.3
2011,,          Financing,0.4,0.7,0.2
2011,,          Insurance,[*7],[*7],[*7]
2011,,     Real estate and professional and business services,4.4,6.9,0.9
2011,,          Real estate,0.6,0.9,0.4
2011,,          Professional and business services,3.8,6.0,1.2
2011,,               Professional and business services (excl. cleaning and similar activities),2.0,3.1,0.8
2011,,               Cleaning and similar activities,1.8,2.8,2.6
2011,,"Public administration, social and personal services",11.2,17.7,1.2
2011,,     Public administration,0.3,0.4,0.2
2011,,     Education,3.0,4.7,1.5
2011,,     Human health and social work activities,0.8,1.2,0.5
2011,,          Human health activities,0.4,0.6,0.4
2011,,          Social work activities,0.4,0.6,0.6
2011,,"     Arts, entertainment and recreation",1.9,3.0,3.4
2011,,     Other service activities,5.3,8.4,1.3
2011,,Other industries,0.3,0.4,1.1
2011,,Overall,63.3,100.0,1.7
2012,,Manufacturing,1.3,2.3,1.0
2012,,Construction,24.0,42.0,7.9
2012,,     Foundation and superstructure,15.7,27.4,6.8
2012,,"     Decoration, repair and maintenance for buildings",8.4,14.7,11.4
2012,,Import/export trade and wholesale,2.0,3.4,0.3
2012,,     Import and export trade,1.5,2.6,0.3
2012,,     Wholesale,0.4,0.8,0.9
2012,,"Retail, accommodation and food services (5)",9.0,15.7,1.5
2012,,     Retail,3.5,6.1,1.0
2012,,     Accommodation and food services,5.5,9.7,2.0
2012,,          Accommodation services,0.4,0.8,1.0
2012,,          Food and beverage service activities,5.1,8.9,2.2
2012,,"Transportation, storage, postal and courier services, information and communications",7.4,12.9,1.7
2012,,     Transportation and storage,6.7,11.8,2.2
2012,,          Transportation,5.5,9.6,2.5
2012,,          Warehousing and support activities for transportation,1.3,2.2,1.5
2012,,     Postal and courier activities,[*7],[*7],[*7]
2012,,     Information and communications,0.5,0.9,0.4
2012,,"Financing, insurance, real estate, professional and business services",4.2,7.4,0.6
2012,,     Financing and insurance,0.3,0.6,0.1
2012,,          Financing,0.3,0.5,0.2
2012,,          Insurance,[*7],[*7],[*7]
2012,,     Real estate and professional and business services,3.9,6.8,0.8
2012,,          Real estate,0.4,0.7,0.3
2012,,          Professional and business services,3.5,6.1,1.1
2012,,               Professional and business services (excl. cleaning and similar activities),1.9,3.3,0.7
2012,,               Cleaning and similar activities,1.6,2.9,2.4
2012,,"Public administration, social and personal services",9.0,15.8,0.9
2012,,     Public administration,[*7],[*7],[*7]
2012,,     Education,2.5,4.3,1.2
2012,,     Human health and social work activities,1.0,1.7,0.5
2012,,          Human health activities,[*7],[*7],[*7]
2012,,          Social work activities,0.8,1.4,1.2
2012,,"     Arts, entertainment and recreation",1.7,3.0,3.2
2012,,     Other service activities,3.7,6.5,0.9
2012,,Other industries,[*7],[*7],[*7]
2012,,Overall,57.2,100.0,1.5
2013,,Manufacturing,1.2,2.0,0.9
2013,,Construction,25.4,43.6,7.8
2013,,     Foundation and superstructure,16.2,27.8,6.5
2013,,"     Decoration, repair and maintenance for buildings",9.2,15.8,11.8
2013,,Import/export trade and wholesale,1.4,2.3,0.3
2013,,     Import and export trade,1.1,1.9,0.2
2013,,     Wholesale,[*7],[*7],[*7]
2013,,"Retail, accommodation and food services (5)",8.4,14.5,1.3
2013,,     Retail,3.5,6.0,1.0
2013,,     Accommodation and food services,5.0,8.5,1.7
2013,,          Accommodation services,0.4,0.6,0.7
2013,,          Food and beverage service activities,4.6,7.9,1.9
2013,,"Transportation, storage, postal and courier services, information and communications",7.9,13.6,1.7
2013,,     Transportation and storage,6.8,11.7,2.2
2013,,          Transportation,5.6,9.6,2.5
2013,,          Warehousing and support activities for transportation,1.2,2.1,1.4
2013,,     Postal and courier activities,0.3,0.6,1.9
2013,,     Information and communications,0.7,1.3,0.6
2013,,"Financing, insurance, real estate, professional and business services",4.3,7.3,0.6
2013,,     Financing and insurance,0.3,0.5,0.1
2013,,          Financing,[*7],[*7],[*7]
2013,,          Insurance,[*7],[*7],[*7]
2013,,     Real estate and professional and business services,4.0,6.8,0.8
2013,,          Real estate,0.4,0.7,0.3
2013,,          Professional and business services,3.6,6.1,1.0
2013,,               Professional and business services (excl. cleaning and similar activities),1.9,3.2,0.7
2013,,               Cleaning and similar activities,1.7,2.9,2.4
2013,,"Public administration, social and personal services",9.7,16.6,1.0
2013,,     Public administration,[*7],[*7],[*7]
2013,,     Education,2.7,4.7,1.3
2013,,     Human health and social work activities,0.8,1.5,0.4
2013,,          Human health activities,[*7],[*7],[*7]
2013,,          Social work activities,0.6,1.0,0.8
2013,,"     Arts, entertainment and recreation",2.1,3.6,3.6
2013,,     Other service activities,3.9,6.7,0.9
2013,,Other industries,[*7],[*7],[*7]
2013,,Overall,58.3,100.0,1.5
2014,,Manufacturing,0.9,1.6,0.7
2014,,Construction,22.6,39.7,6.9
2014,,     Foundation and superstructure,14.2,25.0,5.7
2014,,"     Decoration, repair and maintenance for buildings",8.3,14.7,10.9
2014,,Import/export trade and wholesale,1.4,2.4,0.3
2014,,     Import and export trade,1.0,1.7,0.2
2014,,     Wholesale,0.4,0.7,0.9
2014,,"Retail, accommodation and food services (5)",9.4,16.6,1.4
2014,,     Retail,4.1,7.2,1.1
2014,,     Accommodation and food services,5.4,9.4,1.8
2014,,          Accommodation services,0.4,0.7,0.8
2014,,          Food and beverage service activities,5.0,8.8,1.9
2014,,"Transportation, storage, postal and courier services, information and communications",7.8,13.8,1.7
2014,,     Transportation and storage,6.8,12.0,2.2
2014,,          Transportation,5.5,9.7,2.5
2014,,          Warehousing and support activities for transportation,1.3,2.3,1.4
2014,,     Postal and courier activities,[*7],[*7],[*7]
2014,,     Information and communications,0.8,1.5,0.7
2014,,"Financing, insurance, real estate, professional and business services",4.3,7.6,0.6
2014,,     Financing and insurance,[*7],[*7],[*7]
2014,,          Financing,[*7],[*7],[*7]
2014,,          Insurance,[*7],[*7],[*7]
2014,,     Real estate and professional and business services,4.1,7.2,0.8
